Rank,Team,Conf,Region,Rating,MOV+,SOR,E+,G+,A+,BA,EAW,GAW,AAW,Wins,Losses,DIII W,DIII L,Conf W,Conf L,Poll_Index
81,Carleton,MIAC,6,8.52695895003028,-13.92776708275159,1,0,0,1,0,-0.3286154821328643,-0.05506761533983351,-0.0029667689882018067,0,1,0,1,0,0,0.18526041388686348
82,Williams,NESCAC,1,3.7979330526722648,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.18321171539825004
83,Middlebury,NESCAC,1,3.663250313412154,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.17671464044928056
84,Redlands,SCIAC,6,3.63750455195664,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.17547266881495172
85,Salve Regina,NEWMAC,1,0.9601291443825768,-8.876214580720507,0.972262799061191,0,0,1,0,0.005147258194528437,0.07898524934119955,0.3981710013030919,1,0,1,0,0,0,0.16804837157026667
86,Pomona-Pitzer,SCIAC,6,12.446433307733084,-18.626257374397817,0.9968567622321713,0,0,1,0,3.583798176329811e-4,0.012898947295002072,0.1410990637131787,1,0,1,0,0,0,0.15933163693031294
87,Ursinus,CC,2,11.782120666310457,-18.494769921659177,0.9967754062071219,0,0,1,0,3.695371668810399e-4,0.013181848526934159,0.14299362805970883,1,0,1,0,0,0,0.15351799135863153
88,Westminster Pa.,PAC,2,21.714730753722073,-9.750237830915292,1,0,0,1,0,-0.8459553457027912,-0.44646141503863446,-0.09879418213523694,0,1,0,1,0,0,0.14914868733497993
89,Washington and Lee,ODAC,3,16.875834977905722,-17.251787800375357,1,0,0,1,0,-0.6592306840545233,-0.22859504251023577,-0.028892339213091423,0,1,0,1,0,0,0.1451128246619649
90,Heidelberg,OAC,4,10.830390754330278,-18.163994819332935,0.9998410480323575,0,0,1,0,1.0646111444079231e-5,9.773030723175813e-4,0.025996106691017706,1,0,1,0,0,0,0.1320631066542919
91,Widener,MAC,1,0.7613098402314322,-8.50365525342255,0.9865088153481076,0,0,1,0,0.0021021816768287405,0.04376614289328573,0.28954483738032866,1,0,1,0,0,0,0.13200200485054056
92,TCNJ,NJAC,2,1.8062020227079378,-23.279944405609783,0.9539682554030497,0,0,1,0,0.009765279679743388,0.11872190636187807,0.4890089510459579,1,0,1,0,0,0,0.12956368897606566
