Rank,Poll_Index,Team,Conf,Region,MOV+,SOR,E+,G+,A+,BA,EAW,GAW,AAW,Wins,Losses,DIII W,DIII L,Conf W,Conf L,Rating
114,NA,N.C. Wesleyan,USAC,3,1.7716718291543003,0.999358520559148,0,1,1,0,5.253670909999286e-5,0.0032177898473909616,0.05810583311404616,1,0,1,0,0,0,-0.5087313017190942
115,NA,Geneva,PAC,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-0.6910812452926205
116,NA,Centenary La.,SCAC,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-0.9878952326918129
117,NA,Lycoming,LAND,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-2.0396340337809167
118,NA,Olivet,MIAA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-2.4213381665935225
119,NA,FDU-Florham,MAC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-2.6360443299426692
120,NA,Kean,NJAC,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-3.031694665162895
121,NA,Rochester,LL,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-3.148760621040562
122,NA,Stevenson,MAC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-3.1804407649441964
123,NA,Lebanon Valley,MAC,1,-23.132491603304967,1,0,0,1,0,-0.9332742468052448,-0.6356228252854599,-0.20981504957036257,0,1,0,1,0,0,-3.2678400594896764
124,NA,Adrian,MIAA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-3.3968313413752544
125,NA,Concordia Wis.,NACC,5,-26.161851146905576,0.9981041497089478,0,0,0,1,1.8985881548638783e-4,0.008198721264036646,0.10636367362730992,1,0,1,0,0,0,-3.5466073688713506
126,NA,University of New England,CNE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-3.588486011630002
127,NA,Rhodes,SAA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-4.065518094720012
128,NA,Eastern,MAC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-4.150698805665284
129,NA,Montclair State,NJAC,2,-37.589431499014594,1,0,0,0,1,-0.9850323656917261,-0.8454469890235823,-0.44561558902977794,0,1,0,1,0,0,-4.285749568690148
130,NA,Carthage,CCIW,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-4.294211827081989
131,NA,Simpson,ARC,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-4.424674711193811
132,NA,Morrisville State,E8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-4.61449212790154
133,NA,Loras,ARC,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-4.66959534912861
134,NA,St. Lawrence,LL,2,-33.140897059792906,0.9991838083531885,0,0,0,1,6.980440916126707e-5,0.003965254454202705,0.0666560616723717,1,0,1,0,0,0,-4.771774942394295
135,NA,LaGrange,USAC,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-4.939392174269109
136,NA,Salve Regina,NEWMAC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-5.11116451452944
137,NA,MIT,NEWMAC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-5.183691795108773
138,NA,Curry,CNE,1,-36.279465299241,0.9972341781330802,0,0,0,1,2.983307581250205e-4,0.011325174041511454,0.13020233942404447,1,0,1,0,0,0,-5.434627486317305
139,NA,Widener,MAC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-5.4543107276005856
140,NA,Benedictine,NACC,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-5.84667122614071
141,NA,Chicago,MWC,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-5.907167979795618
142,NA,Coast Guard,NEWMAC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-6.510996561835091
143,NA,Catholic,LAND,2,-37.506857703604126,0.995292335381867,0,0,0,1,5.66171374640545e-4,0.0177963543116757,0.17164010644871386,1,0,1,0,0,0,-6.6656864627605525
144,NA,St. John Fisher,E8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-6.798883709868045
145,NA,Millsaps,SAA,3,-41.85002511438232,1,0,0,0,1,-0.9530162064886128,-0.6988109947385055,-0.26341178846540847,0,1,0,1,0,0,-7.16150011278782
146,NA,Calvin,MIAA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-7.451291248485264
147,NA,Husson,CNE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-7.474258444671014
148,NA,Lakeland,NACC,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-7.485027483548
149,NA,Wisconsin Lutheran,NACC,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-8.20580908039328
150,NA,WPI,NEWMAC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-8.261005277415375
151,NA,Sewanee,SAA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-8.378081024978263
152,NA,Puget Sound,NWC,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-9.170217591472792
153,NA,Capital,OAC,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-9.285969475692335
154,NA,Augsburg,MIAC,6,-44.06680954482844,1,0,0,0,1,-0.9601843200525029,-0.7254078455373599,-0.28949408801406873,0,1,0,0,0,0,-9.29611008135287
155,NA,SUNY-Maritime,NEWMAC,1,-36.10387210827778,0.9971369645754885,0,0,0,1,3.1095849996254366e-4,0.011663831117731727,0.13260116133200217,1,0,1,0,0,0,-9.570416338044804
156,NA,Nebraska Wesleyan,ARC,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-9.920155044607979
157,NA,Gettysburg,CC,2,-48.363063744569786,1,0,0,0,1,-0.999890011855511,-0.9944740013778111,-0.9173102613555302,0,1,0,1,0,0,-9.984832320693094
158,NA,Waynesburg,PAC,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-10.512240267150572
159,NA,Buffalo State,LL,2,-47.72678591550026,1,0,0,0,1,-0.8621449685196141,-0.47454914861791864,-0.11167179017101558,0,1,0,1,0,0,-10.80834607447001
160,NA,Buena Vista,ARC,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-10.88795343636493
161,NA,William Paterson,NJAC,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-11.066694411049214
162,NA,Alfred State,E8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-11.089162801415688
163,NA,Kalamazoo,MIAA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-11.118292244694942
164,NA,Kenyon,NCAC,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-11.158251654019695
165,NA,Franklin,HCAC,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-11.345803555622757
166,NA,Austin,SCAC,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-11.410216833346073
167,NA,Anna Maria,MASCAC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-12.045354923314234
168,NA,McDaniel,CC,2,-32.98328397003273,1,0,0,0,1,-0.9950715328981898,-0.923204575664603,-0.6076179161712646,0,1,0,1,0,0,-12.379101610193054
169,NA,Wooster,NCAC,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-12.821319463512838
170,NA,St. Scholastica,MIAC,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-14.071690418057258
171,NA,Misericordia,MAC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-14.401896926670267
172,NA,Greenville,UMAC,6,-32.87390590189416,1,0,0,0,1,-0.9392075942648108,-0.6533237461775259,-0.22376581547630703,0,1,0,1,0,0,-14.440774115747322
173,NA,Methodist,USAC,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-14.539332336246847
174,NA,Wilmington,OAC,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-14.59945530080389
175,NA,Hamline,MIAC,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-14.69346800043106
176,NA,Elmhurst,CCIW,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-14.75122178998416
